800,1,139769
886,2,72760
972,1,91260
1057,2,4058
1143,2,103605
1228,2,171635
1314,1,124978
1400,1,108876
1486,2,115232
1571,2,132042
1657,2,151040
1743,2,228830
1829,2,148743
1915,1,249048
2000,2,265073
2086,2,212310
2171,2,217476
2258,1,156667
2343,2,186286
2429,3,257570
2514,2,235744
2600,2,282174
2685,2,287714
2772,3,300408
2857,2,281518
2943,2,154074
3029,3,281261
3114,3,188635
3200,3,293422
3286,3,239024
3371,2,312061
3457,3,353656
3543,3,317956
3629,3,374717
3714,3,428079
3800,4,316897
3886,3,387279
3972,3,321546
4057,4,396724
4143,4,412927
4229,4,455046
4314,4,377898
4400,3,403809
4486,4,446696
4571,4,456851
4657,4,477943
4743,4,471213
4828,4,390504
4914,4,533919
5000,5,488118
